Name,CategoryId,PropertyIndex,Type,IsCanonical
System.ItemNameDisplay,{b725f130-47ef-101a-a5f1-02608c9eebac},10,String,True
System.Device.PrinterURL,{0b48f35a-be6e-4f17-b108-3c4073d1669a},15,String,True
System.DeviceInterface.PrinterDriverDirectory,{847c66de-b8d6-4af9-abc3-6f4f926bc039},14,String,True
System.DeviceInterface.PrinterDriverName,{afc47170-14f5-498c-8f30-b0d19be449c6},11,String,True
System.DeviceInterface.PrinterEnumerationFlag,{a00742a1-cd8c-4b37-95ab-70755587767a},3,UInt32,True
System.DeviceInterface.PrinterName,{0a7b84ef-0c27-463f-84ef-06c5070001be},10,String,True
System.DeviceInterface.PrinterPortName,{eec7b761-6f94-41b1-949f-c729720dd13c},12,String,True
System.Devices.SignalStrength,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},2,Byte,True
System.Devices.TextMessages,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},3,Byte,True
System.Devices.NewPictures,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},4,UInt16,True
System.Devices.MissedCalls,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},5,Byte,True
System.Devices.Voicemail,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},6,Byte,True
System.Devices.NetworkName,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},7,String,True
System.Devices.NetworkType,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},8,String,True
System.Devices.Roaming,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},9,Byte,True
System.Devices.BatteryLife,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},10,Byte,True
System.Devices.ChargingState,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},11,Byte,True
System.Devices.StorageCapacity,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},12,UInt64,True
System.Devices.StorageFreeSpace,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},13,UInt64,True
System.Devices.StorageFreeSpacePercent,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},14,UInt32,True
System.Devices.BatteryPlusCharging,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},22,Byte,True
System.Devices.BatteryPlusChargingText,{49cd1f76-5626-4b17-a4e8-18b4aa1a2213},23,String,True
System.Devices.DiscoveryMethod,{78c34fc8-104a-4aca-9ea4-524d52996e57},52,StringList,True
System.Devices.Connected,{78c34fc8-104a-4aca-9ea4-524d52996e57},55,Boolean,True
System.Devices.Paired,{78c34fc8-104a-4aca-9ea4-524d52996e57},56,Boolean,True
System.Devices.Icon,{78c34fc8-104a-4aca-9ea4-524d52996e57},57,String,True
System.Devices.LocalMachine,{78c34fc8-104a-4aca-9ea4-524d52996e57},70,Boolean,True
System.Devices.MetadataPath,{78c34fc8-104a-4aca-9ea4-524d52996e57},71,String,True
System.Devices.LaunchDeviceStageFromExplorer,{78c34fc8-104a-4aca-9ea4-524d52996e57},77,Boolean,True
System.Devices.DeviceDescription1,{78c34fc8-104a-4aca-9ea4-524d52996e57},81,String,True
System.Devices.DeviceDescription2,{78c34fc8-104a-4aca-9ea4-524d52996e57},82,String,True
System.Devices.NotWorkingProperly,{78c34fc8-104a-4aca-9ea4-524d52996e57},83,Boolean,True
System.Devices.IsShared,{78c34fc8-104a-4aca-9ea4-524d52996e57},84,Boolean,True
System.Devices.IsNetworkConnected,{78c34fc8-104a-4aca-9ea4-524d52996e57},85,Boolean,True
System.Devices.IsDefault,{78c34fc8-104a-4aca-9ea4-524d52996e57},86,Boolean,True
System.Devices.CategoryIds,{78c34fc8-104a-4aca-9ea4-524d52996e57},90,StringList,True
System.Devices.Category,{78c34fc8-104a-4aca-9ea4-524d52996e57},91,StringList,True
System.Devices.CategoryPlural,{78c34fc8-104a-4aca-9ea4-524d52996e57},92,StringList,True
